image,text
data/ocr_india/images/plate_000000.jpg,GJ9A5IB7301
data/ocr_india/images/plate_000001.jpg,DN09AH0221
data/ocr_india/images/plate_000002.jpg,DN19IZ7802
data/ocr_india/images/plate_000003.jpg,HR50GE4439
data/ocr_india/images/plate_000004.jpg,DN68PE0830
data/ocr_india/images/plate_000005.jpg,TN53UA6699
data/ocr_india/images/plate_000006.jpg,HP88RAWL
data/ocr_india/images/plate_000007.jpg,HR06XZDY
data/ocr_india/images/plate_000008.jpg,UP71THVA
data/ocr_india/images/plate_000009.jpg,DD10NCEN
data/ocr_india/images/plate_000010.jpg,CG51GW9634
data/ocr_india/images/plate_000011.jpg,NL32SFOM
data/ocr_india/images/plate_000012.jpg,UP60FDUY
data/ocr_india/images/plate_000013.jpg,RJ24XE8217
data/ocr_india/images/plate_000014.jpg,TN69KFTB
data/ocr_india/images/plate_000015.jpg,MZ55HG8652
data/ocr_india/images/plate_000016.jpg,AS43YP0032
data/ocr_india/images/plate_000017.jpg,DN7M2JB5359
data/ocr_india/images/plate_000018.jpg,KA71XC4139
data/ocr_india/images/plate_000019.jpg,UK10KI4877
data/ocr_india/images/plate_000020.jpg,NL0C9JS6771
data/ocr_india/images/plate_000021.jpg,JH0U7ZC1317
data/ocr_india/images/plate_000022.jpg,TS42BJOW
data/ocr_india/images/plate_000023.jpg,TN20WHFF
data/ocr_india/images/plate_000024.jpg,MZ84QH6665
data/ocr_india/images/plate_000025.jpg,DN15PJ0227
data/ocr_india/images/plate_000026.jpg,PY43ICQF
data/ocr_india/images/plate_000027.jpg,MZ96PU7897
data/ocr_india/images/plate_000028.jpg,LD41QP1362
data/ocr_india/images/plate_000029.jpg,UK5R4GV3301
data/ocr_india/images/plate_000030.jpg,BR61IG4506
data/ocr_india/images/plate_000031.jpg,TR96WH7766
data/ocr_india/images/plate_000032.jpg,MP98NB8811
data/ocr_india/images/plate_000033.jpg,BR35WP1015
data/ocr_india/images/plate_000034.jpg,MH81KZ6917
data/ocr_india/images/plate_000035.jpg,TS97IJ5468
data/ocr_india/images/plate_000036.jpg,CH52WMOD
data/ocr_india/images/plate_000037.jpg,GJ31FR8871
data/ocr_india/images/plate_000038.jpg,BR9N0KO2014
data/ocr_india/images/plate_000039.jpg,HR66OEGL
data/ocr_india/images/plate_000040.jpg,DL12EH6151
data/ocr_india/images/plate_000041.jpg,JK20DI1680
data/ocr_india/images/plate_000042.jpg,DD5D7ID3593
data/ocr_india/images/plate_000043.jpg,OD96IRDG
data/ocr_india/images/plate_000044.jpg,WB36XDVY
data/ocr_india/images/plate_000045.jpg,PB3Y3AN9767
data/ocr_india/images/plate_000046.jpg,DN32SDGL
data/ocr_india/images/plate_000047.jpg,JH64UE5306
data/ocr_india/images/plate_000048.jpg,DD29JE8562
data/ocr_india/images/plate_000049.jpg,TS2X2RJ2753
data/ocr_india/images/plate_000050.jpg,DD40TN0730
data/ocr_india/images/plate_000051.jpg,TS77BNTX
data/ocr_india/images/plate_000052.jpg,HR5P0KT2866
data/ocr_india/images/plate_000053.jpg,JH7S7PH3402
data/ocr_india/images/plate_000054.jpg,CH02WN6383
data/ocr_india/images/plate_000055.jpg,MP26NG6780
data/ocr_india/images/plate_000056.jpg,AP76MS4128
data/ocr_india/images/plate_000057.jpg,JK9J5SO5971
data/ocr_india/images/plate_000058.jpg,DL0C9GH6330
data/ocr_india/images/plate_000059.jpg,UK24TT1547
data/ocr_india/images/plate_000060.jpg,UP5A9MX4422
data/ocr_india/images/plate_000061.jpg,AS82MJ9066
data/ocr_india/images/plate_000062.jpg,TN67YQPF
data/ocr_india/images/plate_000063.jpg,GA94SMVP
data/ocr_india/images/plate_000064.jpg,HR38DW7252
data/ocr_india/images/plate_000065.jpg,HR2F8UU8368
data/ocr_india/images/plate_000066.jpg,OD8X5HR2974
data/ocr_india/images/plate_000067.jpg,DN05AETH
data/ocr_india/images/plate_000068.jpg,DD76MK4546
data/ocr_india/images/plate_000069.jpg,KL68LQ0805
data/ocr_india/images/plate_000070.jpg,PY11WH5678
data/ocr_india/images/plate_000071.jpg,JH2A9LD8996
data/ocr_india/images/plate_000072.jpg,UP2G9NX9732
data/ocr_india/images/plate_000073.jpg,LD20KXUC
data/ocr_india/images/plate_000074.jpg,ML10XQ6549
data/ocr_india/images/plate_000075.jpg,UK58MAQU
data/ocr_india/images/plate_000076.jpg,PB9S2VM8876
data/ocr_india/images/plate_000077.jpg,UK9P1FH7219
data/ocr_india/images/plate_000078.jpg,HR11NQFO
data/ocr_india/images/plate_000079.jpg,LD58THIQ
data/ocr_india/images/plate_000080.jpg,DL4Y1RD8101
data/ocr_india/images/plate_000081.jpg,WB79ZQ9165
data/ocr_india/images/plate_000082.jpg,JK0U1ZS2927
data/ocr_india/images/plate_000083.jpg,PB3T5ML7127
data/ocr_india/images/plate_000084.jpg,MZ0M1KP4141
data/ocr_india/images/plate_000085.jpg,DN3D2BO7102
data/ocr_india/images/plate_000086.jpg,MZ78VYAS
data/ocr_india/images/plate_000087.jpg,PY35ACHC
data/ocr_india/images/plate_000088.jpg,MN53XO8110
data/ocr_india/images/plate_000089.jpg,CG8U7FL1047
data/ocr_india/images/plate_000090.jpg,JH36ICSO
data/ocr_india/images/plate_000091.jpg,MZ9A5KA2050
data/ocr_india/images/plate_000092.jpg,DN79MVNM
data/ocr_india/images/plate_000093.jpg,PB5Q4IO8465
data/ocr_india/images/plate_000094.jpg,JK6Q6ZL5956
data/ocr_india/images/plate_000095.jpg,OD17LVSI
data/ocr_india/images/plate_000096.jpg,DL6Q3GA0888
data/ocr_india/images/plate_000097.jpg,MZ71UF2879
data/ocr_india/images/plate_000098.jpg,LD88MX5763
data/ocr_india/images/plate_000099.jpg,HP32MKBC
data/ocr_india/images/plate_000100.jpg,PY32YE6648
data/ocr_india/images/plate_000101.jpg,CH5S7NT0433
data/ocr_india/images/plate_000102.jpg,DD9L7NU9867
data/ocr_india/images/plate_000103.jpg,PB49CX3546
data/ocr_india/images/plate_000104.jpg,MZ27WL3447
data/ocr_india/images/plate_000105.jpg,AR52PXFP
data/ocr_india/images/plate_000106.jpg,OD16SPDT
data/ocr_india/images/plate_000107.jpg,UP38VBFO
data/ocr_india/images/plate_000108.jpg,UK17MHGY
data/ocr_india/images/plate_000109.jpg,RJ1S5HM2724
data/ocr_india/images/plate_000110.jpg,AR14BVVJ
data/ocr_india/images/plate_000111.jpg,MN16OQSA
data/ocr_india/images/plate_000112.jpg,DN50YR5020
data/ocr_india/images/plate_000113.jpg,PY3D6OV7413
data/ocr_india/images/plate_000114.jpg,MP65EMHA
data/ocr_india/images/plate_000115.jpg,CH47DYAO
data/ocr_india/images/plate_000116.jpg,MP3P4BJ7799
data/ocr_india/images/plate_000117.jpg,NL31ZHZZ
data/ocr_india/images/plate_000118.jpg,WB9O2GA0090
data/ocr_india/images/plate_000119.jpg,GJ59OW7073
data/ocr_india/images/plate_000120.jpg,DN85DKAG
data/ocr_india/images/plate_000121.jpg,UP87EOIV
data/ocr_india/images/plate_000122.jpg,RJ77NG6662
data/ocr_india/images/plate_000123.jpg,NL48NCEU
data/ocr_india/images/plate_000124.jpg,CG19VW5226
data/ocr_india/images/plate_000125.jpg,MN56MIAH
data/ocr_india/images/plate_000126.jpg,NL9O5DP2292
data/ocr_india/images/plate_000127.jpg,PB96TM2318
data/ocr_india/images/plate_000128.jpg,PB16ZKFS
data/ocr_india/images/plate_000129.jpg,ML5E0EA5232
data/ocr_india/images/plate_000130.jpg,UK85ISVB
data/ocr_india/images/plate_000131.jpg,CG90MZ5894
data/ocr_india/images/plate_000132.jpg,GA39MA2657
data/ocr_india/images/plate_000133.jpg,ML50PV1221
data/ocr_india/images/plate_000134.jpg,OD6X7SG2328
data/ocr_india/images/plate_000135.jpg,MZ2S0OA5485
data/ocr_india/images/plate_000136.jpg,WB35OPGL
